type,timestamp,positions,velocities,torques
STATE_MOTOR,0.0,"[-2.001818302233005e-06, 0.0068931421265006065, 0.5049896240234375, 0.0017044201958924532, -1.4958665815356653e-05, 0.4967429041862488]","[-0.00011331755376886576, -0.04624238610267639, 0.04692041501402855, 0.008930224925279617, -0.00016197602963075042, 0.06069032475352287]","[0.0001469892158638686, -0.5032024383544922, -0.4202289581298828, -0.10896560549736023, -0.00014029990416020155, 0.003651695791631937]"
STATE_MOTOR,0.004999999888241291,"[-1.507406864220684e-06, 0.006843007169663906, 0.5055373311042786, 0.0016848688246682286, -1.4950750482967123e-05, 0.4974365532398224]","[6.992762791924179e-05, -0.06709624826908112, 0.08380206674337387, 0.0011225095950067043, -7.36842121114023e-05, 0.1262173056602478]","[-7.415361324092373e-05, -0.4871053099632263, -0.37499672174453735, -0.0962032601237297, -0.00012599403271451592, 0.0035533453337848186]"
STATE_MOTOR,0.009999999776482582,"[-1.3560415936808567e-06, 0.006818604189902544, 0.5060815215110779, 0.0016782248858362436, -1.4792293768550735e-05, 0.49798113107681274]","[-3.557464879122563e-05, -0.057196542620658875, 0.0742650255560875, 0.005541704129427671, -0.00011903177801286802, 0.09889690577983856]","[-0.00011563790758373216, -0.4807215929031372, -0.40112024545669556, -0.10294239223003387, -0.00013082947407383472, 0.0033796378411352634]"
STATE_MOTOR,0.014999999664723873,"[-1.6031308405217715e-06, 0.006837930530309677, 0.506563127040863, 0.001686824019998312, -1.4807815205131192e-05, 0.49840810894966125]","[-9.618839249014854e-05, -0.04982919245958328, 0.06088509410619736, 0.007896499708294868, -0.00014712971460539848, 0.07747793197631836]","[4.518740752246231e-05, -0.4929454028606415, -0.41257166862487793, -0.10654855519533157, -0.00013633069465868175, 0.0035385875962674618]"
STATE_MOTOR,0.019999999552965164,"[-2.012506001847214e-06, 0.006881821434944868, 0.5069756507873535, 0.0017028491711243987, -1.4919191016815603e-05, 0.4987429082393646]","[-0.00011456375068519264, -0.04632849991321564, 0.04701048880815506, 0.008919576182961464, -0.00016120685904752463, 0.06069033220410347]","[0.000147214625030756, -0.5027818083763123, -0.41983261704444885, -0.10886344313621521, -0.00014015176566317677, 0.0036516650579869747]"
STATE_MOTOR,0.024999999441206455,"[-2.431103894195985e-06, 0.006933985278010368, 0.5073193907737732, 0.0017210303340107203, -1.5069581422721967e-05, 0.49900543689727783]","[-0.00010881505295401439, -0.04567878693342209, 0.03341573476791382, 0.009039737284183502, -0.00016545153630431741, 0.047534313052892685]","[0.0001956371997948736, -0.5090308785438538, -0.42402100563049316, -0.11021561920642853, -0.00014231707609724253, 0.003723158035427332]"
STATE_MOTOR,0.029999999329447746,"[-2.780217755571357e-06, 0.006983391474932432, 0.5075972676277161, 0.001737909740768373, -1.5220300156215671e-05, 0.4992113411426544]","[-9.157528256764635e-05, -0.04686906188726425, 0.020573491230607033, 0.008585168048739433, -0.00016320310533046722, 0.03722537308931351]","[0.00020886908168904483, -0.5122060775756836, -0.42572519183158875, -0.11078803241252899, -0.00014320688205771148, 0.0037603587843477726]"
STATE_MOTOR,0.03499999921768904,"[-3.0279388738563284e-06, 0.0070234136655926704, 0.5078142285346985, 0.0017514347564429045, -1.5347724911407568e-05, 0.4993728995323181]","[-7.043341611279175e-05, -0.04909825325012207, 0.008843723684549332, 0.007810621056705713, -0.0001572061300976202, 0.029146984219551086]","[0.0002006611175602302, -0.512974202632904, -0.42549413442611694, -0.11075276136398315, -0.00014316075248643756, 0.0037707360461354256]"
STATE_MOTOR,0.03999999910593033,"[-3.1693605251348345e-06, 0.007050791289657354, 0.5079766511917114, 0.0017606221372261643, -1.5439260096172802e-05, 0.49949967861175537]","[-4.970762165612541e-05, -0.051766302436590195, -0.001525145024061203, 0.00690658250823617, -0.00014941867266315967, 0.022815745323896408]","[0.00018018967239186168, -0.5119751691818237, -0.42385369539260864, -0.1102743148803711, -0.00014246909995563328, 0.0037613539025187492]"
STATE_MOTOR,0.04499999899417162,"[-3.214275693608215e-06, 0.007064704783260822, 0.5080918073654175, 0.0017652619862928987, -1.5490735677303746e-05, 0.4995992183685303]","[-3.161109270877205e-05, -0.05444841831922531, -0.010392647236585617, 0.006006988696753979, -0.0001413100108038634, 0.017852624878287315]","[0.0001536773779662326, -0.5097795128822327, -0.42127978801727295, -0.10950148850679398, -0.00014136759273242205, 0.0037385295145213604]"
STATE_MOTOR,0.04999999888241291,"[-3.1793290418136166e-06, 0.007065991405397654, 0.5081673860549927, 0.001765670720487833, -1.5503812392125838e-05, 0.4996773898601532]","[-1.7114747606683522e-05, -0.05686553940176964, -0.01771704852581024, 0.005201058927923441, -0.00013388178194873035, 0.013960503041744232]","[0.00012508641520980746, -0.5068737268447876, -0.41818177700042725, -0.10856176167726517, -0.00014004393597133458, 0.003707639640197158]"
STATE_MOTOR,0.0549999987706542,"[-3.0835055895295227e-06, 0.007056511472910643, 0.5082110166549683, 0.0017624907195568085, -1.548345244373195e-05, 0.49973878264427185]","[-6.413007213268429e-06, -0.05885476619005203, -0.023540163412690163, 0.004540296737104654, -0.000127648570924066, 0.010907446034252644]","[9.713035979075357e-05, -0.5036524534225464, -0.4148937463760376, -0.10755953937768936, -0.00013865075015928596, 0.003673065919429064]"
STATE_MOTOR,0.05999999865889549,"[-2.945393362097093e-06, 0.00703865010291338, 0.5082299113273621, 0.001756527228280902, -1.543647340440657e-05, 0.4997870624065399]","[6.873306119814515e-07, -0.060343168675899506, -0.0279677826911211, 0.004047103226184845, -0.00012286927085369825, 0.008512148633599281]","[7.132711471058428e-05, -0.5004197359085083, -0.41167324781417847, -0.10657506436109543, -0.00013729203783441335, 0.003638198133558035]"
STATE_MOTOR,0.06499999854713678,"[-2.7817775389848975e-06, 0.007014943286776543, 0.5082306861877441, 0.0017486296128481627, -1.537054959044326e-05, 0.49982503056526184]","[4.629670002032071e-06, -0.06132419407367706, -0.03114990144968033, 0.0037229382432997227, -0.00011964603618253022, 0.0066304681822657585]","[4.867029201705009e-05, -0.4973946809768677, -0.40870362520217896, -0.10566578805446625, -0.00013604655396193266, 0.0036054663360118866]"
STATE_MOTOR,0.06999999843537807,"[-2.6069026262121042e-06, 0.0069878194481134415, 0.5082190036773682, 0.0017396060284227133, -1.529311339254491e-05, 0.4998548626899719]","[5.943616997683421e-06, -0.06183503195643425, -0.03326572850346565, 0.0035544773563742638, -0.00011787007679231465, 0.005151436198502779]","[2.962576581921894e-05, -0.494722843170166, -0.4061068296432495, -0.1048697754740715, -0.00013496547762770206, 0.0035765180364251137]"
STATE_MOTOR,0.07499999832361937,"[-2.4321707314811647e-06, 0.006959420628845692, 0.5081994533538818, 0.0017301685875281692, -1.521087051514769e-05, 0.49987831711769104]","[5.2004070312250406e-06, -0.06194300949573517, -0.03450222313404083, 0.0035193823277950287, -0.00011735823500202969, 0.003989693708717823]","[1.42739509101375e-05, -0.492484986782074, -0.4039442241191864, -0.10420633107423782, -0.00013406395737547427, 0.0035522528924047947]"
STATE_MOTOR,0.07999999821186066,"[-2.2661045022687176e-06, 0.00693149957805872, 0.5081760883331299, 0.0017208947101607919, -1.5129167877603322e-05, 0.499896764755249]","[2.9540642572101206e-06, -0.06173066794872284, -0.035040952265262604, 0.003589905332773924, -0.0001178241363959387, 0.0030760178342461586]","[2.472383584972704e-06, -0.49070873856544495, -0.40223050117492676, -0.10368053615093231, -0.00013335701078176498, 0.003532977309077978]"
STATE_MOTOR,0.08499999810010195,"[-2.1148130144865718e-06, 0.0069054048508405685, 0.5081517696380615, 0.0017122323624789715, -1.5052596609166358e-05, 0.49991124868392944]","[-3.447385097388178e-07, -0.06127956137061119, -0.035060297697782516, 0.0037387870252132416, -0.00011912178160855547, 0.002356574172154069]","[-6.135927833383903e-06, -0.48938676714897156, -0.400957852602005, -0.10329005867242813, -0.0001328325888607651, 0.0035186572931706905]"
STATE_MOTOR,0.08999999798834324,"[-1.98211432689277e-06, 0.00688207196071744, 0.5081285834312439, 0.001704490976408124, -1.4983892469899729e-05, 0.49992266297340393]","[-4.2110696085728705e-06, -0.060671113431453705, -0.03471539914608002, 0.0039405301213264465, -0.00012087357754353434, 0.0017916773213073611]","[-1.1748867109417915e-05, -0.48848363757133484, -0.40008455514907837, -0.10302219539880753, -0.00013247573224361986, 0.0035088956356048584]"
STATE_MOTOR,0.09499999787658453,"[-1.8697454606808606e-06, 0.00686205830425024, 0.5081078410148621, 0.0016978521598502994, -1.4924802599125542e-05, 0.49993160367012024]","[-8.327606337843463e-06, -0.059977419674396515, -0.03413847088813782, 0.0041696918196976185, -0.00012289064761716872, 0.0013455472653731704]","[-1.5078068827278912e-05, -0.48794466257095337, -0.3995569348335266, -0.10286073386669159, -0.00013226283772382885, 0.0035031004808843136]"
STATE_MOTOR,0.09999999776482582,"[-1.7779885865820688e-06, 0.00684559578076005, 0.5080904364585876, 0.0016923901857808232, -1.4876193745294586e-05, 0.4999386668205261]","[-1.239277480635792e-05, -0.05925924703478813, -0.03343663364648819, 0.004406754858791828, -0.0001250117493327707, 0.0009950028033927083]","[-1.6424444766016677e-05, -0.48770570755004883, -0.3993118405342102, -0.10278618335723877, -0.0001321675954386592, 0.003500571008771658]"
STATE_MOTOR,0.10499999765306711,"[-1.7059973060895572e-06, 0.006832662038505077, 0.5080767273902893, 0.0016880979528650641, -1.4838232345937286e-05, 0.49994418025016785]","[-1.6217010852415115e-05, -0.058562275022268295, -0.03269702196121216, 0.004636841826140881, -0.00012712125317193568, 0.0007176555227488279]","[-1.633685315027833e-05, -0.48770204186439514, -0.39929014444351196, -0.10278020054101944, -0.00013216516526881605, 0.0035006068646907806]"
STATE_MOTOR,0.1099999975413084,"[-1.652039600230637e-06, 0.006823042407631874, 0.5080665946006775, 0.0016849045641720295, -1.4810176253376994e-05, 0.49994853138923645]","[-1.968313881661743e-05, -0.057920604944229126, -0.031983375549316406, 0.004849244840443134, -0.00012903913739137352, 0.0005002326797693968]","[-1.5232717487378977e-05, -0.4878714382648468, -0.39943212270736694, -0.10282466560602188, -0.0001322281896136701, 0.003502538427710533]"
STATE_MOTOR,0.1149999974295497,"[-1.6140218122018268e-06, 0.006816381122916937, 0.5080599188804626, 0.0016826909268274903, -1.4791032299399376e-05, 0.49995192885398865]","[-2.2650010578217916e-05, -0.05735797435045242, -0.03133568912744522, 0.005034596659243107, -0.0001307334314333275, 0.000327910587657243]","[-1.3345099432626739e-05, -0.48815613985061646, -0.3996813893318176, -0.10290216654539108, -0.00013233660138212144, 0.003505710046738386]"
STATE_MOTOR,0.11999999731779099,"[-1.5893638192210346e-06, 0.006812253501266241, 0.508056104183197, 0.0016813162947073579, -1.477958448958816e-05, 0.49995455145835876]","[-2.513489562261384e-05, -0.05688440054655075, -0.030784104019403458, 0.005191219504922628, -0.00013217410014476627, 0.0001930884609464556]","[-1.115754548663972e-05, -0.4885072112083435, -0.3999965786933899, -0.10299979895353317, -0.00013247065362520516, 0.003509621135890484]"
STATE_MOTOR,0.12499999720603228,"[-1.575534270159551e-06, 0.006810192484408617, 0.508054792881012, 0.0016806264175102115, -1.477428031648742e-05, 0.4999566078186035]","[-2.7114459953736514e-05, -0.0565057098865509, -0.030336882919073105, 0.0053166234865784645, -0.0001332956599071622, 8.862385584507138e-05]","[-8.817703019303735e-06, -0.4888845980167389, -0.4003346562385559, -0.10310456901788712, -0.0001326140045421198, 0.003513800213113427]"
STATE_MOTOR,0.12999999709427357,"[-1.570154608998564e-06, 0.0068097407929599285, 0.5080553889274597, 0.0016804694896563888, -1.4773772818443831e-05, 0.49995821714401245]","[-2.8630383894778788e-05, -0.056217048317193985, -0.02999879978597164, 0.005411844234913588, -0.00013415330613497645, 6.573682185262442e-06]","[-6.508678779937327e-06, -0.48925742506980896, -0.40067216753959656, -0.1032090112566948, -0.00013275643868837506, 0.0035179336555302143]"
STATE_MOTOR,0.13499999698251486,"[-1.5710193110862747e-06, 0.006810468155890703, 0.5080573558807373, 0.0016807024367153645, -1.4776806892768946e-05, 0.4999594986438751]","[-2.9720466045546345e-05, -0.05601171404123306, -0.029763124883174896, 0.0054800063371658325, -0.0001347740471828729, -5.8034114772453904e-05]","[-4.368785084807314e-06, -0.4896039366722107, -0.4009857773780823, -0.10330606251955032, -0.00013288878835737705, 0.0035217648837715387]"
STATE_MOTOR,0.13999999687075615,"[-1.5761449958517915e-06, 0.00681198900565505, 0.5080601572990417, 0.0016811991808936, -1.4782197467866354e-05, 0.4999604821205139]","[-3.0441140552284196e-05, -0.05587952584028244, -0.029617726802825928, 0.00552383391186595, -0.00013516124454326928, -0.00010964855027850717]","[-2.4973512608994497e-06, -0.4899088740348816, -0.4012616276741028, -0.10339142382144928, -0.000133004694362171, 0.003525134641677141]"
STATE_MOTOR,0.14499999675899744,"[-1.5838609215279575e-06, 0.0068139731884002686, 0.5080634355545044, 0.0016818498261272907, -1.478891044826014e-05, 0.499961256980896]","[-3.0848397727822885e-05, -0.055808812379837036, -0.029547059908509254, 0.005547482054680586, -0.00013535504695028067, -0.00014924984134268016]","[-9.340922133560525e-07, -0.4901632070541382, -0.40149083733558655, -0.1034623235464096, -0.00013310069334693253, 0.0035279453732073307]"
