type,timestamp,positions
CONTROL,887967.5010000482,"[0.134076, 0.119536, 0.624062, 0.084165, 0.014265, 0.527609]"
CONTROL,908044.4679999573,"[0.135724, 0.119054, 0.621353, 0.080904, 0.010344, 0.523176]"
CONTROL,928122.6519999563,"[0.137286, 0.118402, 0.618523, 0.077439, 0.006403, 0.518652]"
CONTROL,948200.6109999474,"[0.138762, 0.117583, 0.615577, 0.073778, 0.00245, 0.514054]"
CONTROL,968278.6989999386,"[0.140149, 0.116596, 0.612517, 0.069931, -0.001508, 0.5094]"
CONTROL,988358.5459999721,"[0.141449, 0.115443, 0.609345, 0.065908, -0.005463, 0.504709]"
CONTROL,1008436.1540000372,"[0.142658, 0.114127, 0.606066, 0.061717, -0.009408, 0.5]"
CONTROL,1028617.2849999957,"[0.143778, 0.112648, 0.602682, 0.057371, -0.013334, 0.495291]"
CONTROL,1048695.7240000265,"[0.144807, 0.111009, 0.599197, 0.05288, -0.017234, 0.4906]"
CONTROL,1068773.6200000017,"[0.145745, 0.109213, 0.595614, 0.048256, -0.021102, 0.485946]"
CONTROL,1088851.642999998,"[0.14659, 0.107261, 0.591936, 0.043509, -0.024928, 0.481348]"
CONTROL,1108929.7309999892,"[0.147343, 0.105157, 0.588168, 0.038653, -0.028706, 0.476824]"
CONTROL,1129005.865999943,"[0.148003, 0.102903, 0.584313, 0.033699, -0.032429, 0.472391]"
CONTROL,1149084.62599999,"[0.148569, 0.100503, 0.580374, 0.02866, -0.036089, 0.468067]"
CONTROL,1169163.7699999546,"[0.149042, 0.097961, 0.576356, 0.023548, -0.039679, 0.463868]"
CONTROL,1189239.7770000116,"[0.14942, 0.095279, 0.572263, 0.018377, -0.043193, 0.459813]"
CONTROL,1209319.3370000108,"[0.149704, 0.092462, 0.568099, 0.01316, -0.046622, 0.455916]"
CONTROL,1229397.8720000496,"[0.149893, 0.089513, 0.563867, 0.007909, -0.049962, 0.452193]"
CONTROL,1249476.695999988,"[0.149988, 0.086437, 0.559572, 0.002639, -0.053205, 0.448659]"
CONTROL,1269556.062999982,"[0.149988, 0.083238, 0.555219, -0.002639, -0.056345, 0.445327]"
CONTROL,1289635.3669999598,"[0.149893, 0.079921, 0.550811, -0.007909, -0.059377, 0.442212]"
CONTROL,1309714.9909999643,"[0.149704, 0.076491, 0.546353, -0.01316, -0.062293, 0.439324]"
CONTROL,1329796.5660000273,"[0.14942, 0.072952, 0.541849, -0.018377, -0.065089, 0.436675]"
CONTROL,1349871.0699999493,"[0.149042, 0.069309, 0.537303, -0.023548, -0.067759, 0.434277]"
CONTROL,1369949.6369999906,"[0.148569, 0.065567, 0.532721, -0.02866, -0.070298, 0.432138]"
CONTROL,1390028.2690000266,"[0.148003, 0.061733, 0.528107, -0.033699, -0.072701, 0.430267]"
CONTROL,1410104.179999962,"[0.147343, 0.05781, 0.523465, -0.038653, -0.074963, 0.428671]"
CONTROL,1430184.8279999376,"[0.14659, 0.053806, 0.5188, -0.043509, -0.07708, 0.427356]"
CONTROL,1450263.5879999844,"[0.145745, 0.049725, 0.514116, -0.048256, -0.079049, 0.426328]"
CONTROL,1470339.4990000334,"[0.144807, 0.045573, 0.509419, -0.05288, -0.080864, 0.425591]"
CONTROL,1490444.979000017,"[0.143778, 0.041357, 0.504712, -0.057371, -0.082523, 0.425148]"
CONTROL,1510527.4180000378,"[0.142658, 0.037082, 0.5, -0.061717, -0.084022, 0.425]"
CONTROL,1530609.4080000322,"[0.141449, 0.032754, 0.495288, -0.065908, -0.085359, 0.425148]"
CONTROL,1550690.3750000447,"[0.140149, 0.02838, 0.490581, -0.069931, -0.086531, 0.425591]"
CONTROL,1570769.036999991,"[0.138762, 0.023965, 0.485884, -0.073778, -0.087535, 0.426328]"
CONTROL,1590845.9400000083,"[0.137286, 0.019516, 0.4812, -0.077439, -0.08837, 0.427356]"
CONTROL,1610926.2979999813,"[0.135724, 0.01504, 0.476535, -0.080904, -0.089035, 0.428671]"
CONTROL,1631006.0490000069,"[0.134076, 0.010542, 0.471893, -0.084165, -0.089526, 0.430267]"
CONTROL,1651085.8630000486,"[0.132344, 0.006029, 0.467279, -0.087213, -0.089845, 0.432138]"
CONTROL,1671165.4539999473,"[0.130528, 0.001508, 0.462697, -0.09004, -0.08999, 0.434277]"
CONTROL,1691251.4760000478,"[0.128629, -0.003016, 0.458151, -0.092641, -0.089961, 0.436675]"
CONTROL,1711330.2989999966,"[0.126649, -0.007535, 0.453647, -0.095007, -0.089758, 0.439324]"
CONTROL,1731409.024999948,"[0.124589, -0.012043, 0.449189, -0.097133, -0.089382, 0.442212]"
CONTROL,1751488.2960000478,"[0.122451, -0.016535, 0.444781, -0.099014, -0.088832, 0.445327]"
CONTROL,1771567.6939999412,"[0.120235, -0.021003, 0.440428, -0.100645, -0.088111, 0.448659]"
CONTROL,1791646.1969999773,"[0.117943, -0.025441, 0.436133, -0.102021, -0.087219, 0.452193]"
CONTROL,1811723.8029999498,"[0.115577, -0.029843, 0.431901, -0.10314, -0.086159, 0.455916]"
CONTROL,1831804.1940000285,"[0.113138, -0.034202, 0.427737, -0.103998, -0.084932, 0.459813]"
CONTROL,1851882.6959999616,"[0.110627, -0.038513, 0.423644, -0.104594, -0.08354, 0.463868]"
CONTROL,1871959.598999979,"[0.108046, -0.042769, 0.419626, -0.104925, -0.081987, 0.468067]"
CONTROL,1892038.4209999384,"[0.105397, -0.046965, 0.415687, -0.104992, -0.080276, 0.472391]"
CONTROL,1912118.3959999825,"[0.102682, -0.051094, 0.411832, -0.104793, -0.078409, 0.476824]"
CONTROL,1932198.8499999633,"[0.099902, -0.05515, 0.408064, -0.104329, -0.076391, 0.481348]"
CONTROL,1952280.3290000183,"[0.097058, -0.059127, 0.404386, -0.103602, -0.074225, 0.485946]"
CONTROL,1972389.6479999893,"[0.094154, -0.063021, 0.400803, -0.102613, -0.071915, 0.4906]"
CONTROL,1992497.526999955,"[0.09119, -0.066825, 0.397318, -0.101365, -0.069466, 0.495291]"
CONTROL,2012589.2779999503,"[0.088168, -0.070534, 0.393934, -0.099861, -0.066883, 0.5]"
CONTROL,2032820.7769999835,"[0.08509, -0.074143, 0.390655, -0.098105, -0.064171, 0.504709]"
CONTROL,2052905.2639999464,"[0.081959, -0.077647, 0.387483, -0.0961, -0.061334, 0.5094]"
CONTROL,2072984.310000038,"[0.078776, -0.08104, 0.384423, -0.093853, -0.058379, 0.514054]"
CONTROL,2093063.485000016,"[0.075543, -0.084318, 0.381477, -0.091369, -0.05531, 0.518652]"
CONTROL,2113142.6590000046,"[0.072263, -0.087476, 0.378647, -0.088654, -0.052135, 0.523176]"
CONTROL,2133222.442000033,"[0.068937, -0.09051, 0.375938, -0.085716, -0.048859, 0.527609]"
CONTROL,2153302.0319999424,"[0.065567, -0.093415, 0.373351, -0.08256, -0.045489, 0.531933]"
CONTROL,2173380.91900001,"[0.062156, -0.096188, 0.370889, -0.079196, -0.04203, 0.536132]"
CONTROL,2193461.308999986,"[0.058706, -0.098824, 0.368554, -0.075632, -0.038491, 0.540187]"
CONTROL,2213540.355999953,"[0.055219, -0.101319, 0.366349, -0.071877, -0.034876, 0.544084]"
CONTROL,2233621.097999958,"[0.051696, -0.103671, 0.364276, -0.067941, -0.031195, 0.547807]"
CONTROL,2253698.865000047,"[0.048142, -0.105875, 0.362337, -0.063833, -0.027453, 0.551341]"
CONTROL,2273777.6550000035,"[0.044556, -0.107929, 0.360534, -0.059563, -0.023658, 0.554673]"
CONTROL,2293855.678,"[0.040943, -0.109829, 0.358868, -0.055143, -0.019817, 0.557788]"
CONTROL,2313935.076000007,"[0.037303, -0.111573, 0.357342, -0.050584, -0.015938, 0.560676]"
CONTROL,2334014.0909999716,"[0.033641, -0.113159, 0.355956, -0.045897, -0.012028, 0.563325]"
CONTROL,2354094.5449999524,"[0.029956, -0.114584, 0.354713, -0.041094, -0.008094, 0.565723]"
CONTROL,2374173.1759999995,"[0.026253, -0.115846, 0.353612, -0.036188, -0.004145, 0.567862]"
CONTROL,2394252.606000009,"[0.022534, -0.116943, 0.352657, -0.031189, -0.000188, 0.569733]"
CONTROL,2414331.0440000505,"[0.0188, -0.117874, 0.351847, -0.026112, 0.003769, 0.571329]"
CONTROL,2434410.538999941,"[0.015054, -0.118638, 0.351183, -0.02097, 0.007719, 0.572644]"
CONTROL,2454489.7130000438,"[0.011299, -0.119233, 0.350666, -0.015774, 0.011654, 0.573672]"
CONTROL,2474569.719999977,"[0.007537, -0.119659, 0.350296, -0.010538, 0.015566, 0.574409]"
CONTROL,2494647.998000005,"[0.00377, -0.119915, 0.350074, -0.005276, 0.019449, 0.574852]"
CONTROL,2514736.38799996,"[0.0, -0.12, 0.35, -0.0, 0.023294, 0.575]"
CONTROL,2534821.7690000185,"[-0.00377, -0.119915, 0.350074, 0.005276, 0.027093, 0.574852]"
CONTROL,2554900.814999996,"[-0.007537, -0.119659, 0.350296, 0.010538, 0.030841, 0.574409]"
CONTROL,2574979.763999977,"[-0.011299, -0.119233, 0.350666, 0.015774, 0.034529, 0.573672]"
CONTROL,2595060.280999974,"[-0.015054, -0.118638, 0.351183, 0.02097, 0.038149, 0.572644]"
CONTROL,2615141.054999981,"[-0.0188, -0.117874, 0.351847, 0.026112, 0.041697, 0.571329]"
CONTROL,2635221.9240000066,"[-0.022534, -0.116943, 0.352657, 0.031189, 0.045163, 0.569733]"
CONTROL,2655307.050000033,"[-0.026253, -0.115846, 0.353612, 0.036188, 0.048542, 0.567862]"
CONTROL,2675386.0950000216,"[-0.029956, -0.114584, 0.354713, 0.041094, 0.051828, 0.565723]"
CONTROL,2695464.4369999412,"[-0.033641, -0.113159, 0.355956, 0.045897, 0.055013, 0.563325]"
CONTROL,2715543.8979999647,"[-0.037303, -0.111573, 0.357342, 0.050584, 0.058091, 0.560676]"
CONTROL,2735622.3990000216,"[-0.040943, -0.109829, 0.358868, 0.055143, 0.061057, 0.557788]"
CONTROL,2755700.7409999412,"[-0.044556, -0.107929, 0.360534, 0.059563, 0.063906, 0.554673]"
CONTROL,2775779.306000004,"[-0.048142, -0.105875, 0.362337, 0.063833, 0.06663, 0.551341]"
CONTROL,2795857.870999953,"[-0.051696, -0.103671, 0.364276, 0.067941, 0.069226, 0.547807]"
CONTROL,2815936.50100001,"[-0.055219, -0.101319, 0.366349, 0.071877, 0.071688, 0.544084]"
CONTROL,2836015.866000025,"[-0.058706, -0.098824, 0.368554, 0.075632, 0.074011, 0.540187]"
CONTROL,2856093.920000035,"[-0.062156, -0.096188, 0.370889, 0.079196, 0.076191, 0.536132]"
CONTROL,2876175.717000024,"[-0.065567, -0.093415, 0.373351, 0.08256, 0.078223, 0.531933]"
