type,timestamp,positions
CONTROL,2550316.185000156,"[-0.007537, -0.119659, 0.350296, 0.010538, 0.030841, 0.574409]"
CONTROL,2570396.293000158,"[-0.011299, -0.119233, 0.350666, 0.015774, 0.034529, 0.573672]"
CONTROL,2590476.6250000647,"[-0.015054, -0.118638, 0.351183, 0.02097, 0.038149, 0.572644]"
CONTROL,2610556.41300004,"[-0.0188, -0.117874, 0.351847, 0.026112, 0.041697, 0.571329]"
CONTROL,2630636.681000169,"[-0.022534, -0.116943, 0.352657, 0.031189, 0.045163, 0.569733]"
CONTROL,2650716.5320001603,"[-0.026253, -0.115846, 0.353612, 0.036188, 0.048542, 0.567862]"
CONTROL,2670796.4480001465,"[-0.029956, -0.114584, 0.354713, 0.041094, 0.051828, 0.565723]"
CONTROL,2690874.5400000955,"[-0.033641, -0.113159, 0.355956, 0.045897, 0.055013, 0.563325]"
CONTROL,2710951.224000155,"[-0.037303, -0.111573, 0.357342, 0.050584, 0.058091, 0.560676]"
CONTROL,2731030.692000104,"[-0.040943, -0.109829, 0.358868, 0.055143, 0.061057, 0.557788]"
CONTROL,2751109.744000132,"[-0.044556, -0.107929, 0.360534, 0.059563, 0.063906, 0.554673]"
CONTROL,2771189.4030001075,"[-0.048142, -0.105875, 0.362337, 0.063833, 0.06663, 0.551341]"
CONTROL,2791267.4630001676,"[-0.051696, -0.103671, 0.364276, 0.067941, 0.069226, 0.547807]"
CONTROL,2811345.971000037,"[-0.055219, -0.101319, 0.366349, 0.071877, 0.071688, 0.544084]"
CONTROL,2831425.3109999755,"[-0.058706, -0.098824, 0.368554, 0.075632, 0.074011, 0.540187]"
CONTROL,2851503.6589999455,"[-0.062156, -0.096188, 0.370889, 0.079196, 0.076191, 0.536132]"
CONTROL,2871583.127000122,"[-0.065567, -0.093415, 0.373351, 0.08256, 0.078223, 0.531933]"
CONTROL,2891662.6259999704,"[-0.068937, -0.09051, 0.375938, 0.085716, 0.080105, 0.527609]"
CONTROL,2911743.4060001415,"[-0.072263, -0.087476, 0.378647, 0.088654, 0.081831, 0.523176]"
CONTROL,2931822.2020001486,"[-0.075543, -0.084318, 0.381477, 0.091369, 0.083399, 0.518652]"
CONTROL,2951900.3259999864,"[-0.078776, -0.08104, 0.384423, 0.093853, 0.084806, 0.514054]"
CONTROL,2971979.218000115,"[-0.081959, -0.077647, 0.387483, 0.0961, 0.086049, 0.5094]"
CONTROL,2992063.0700000855,"[-0.08509, -0.074143, 0.390655, 0.098105, 0.087125, 0.504709]"
CONTROL,3012144.7460001037,"[-0.088168, -0.070534, 0.393934, 0.099861, 0.088033, 0.5]"
CONTROL,3032305.4980001417,"[-0.09119, -0.066825, 0.397318, 0.101365, 0.088771, 0.495291]"
CONTROL,3052390.437999975,"[-0.094154, -0.063021, 0.400803, 0.102613, 0.089337, 0.4906]"
CONTROL,3072468.9139999556,"[-0.097058, -0.059127, 0.404386, 0.103602, 0.08973, 0.485946]"
CONTROL,3092549.566000116,"[-0.099902, -0.05515, 0.408064, 0.104329, 0.089949, 0.481348]"
