type,timestamp,positions
CONTROL,1345313.21999998,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1365386.5530000075,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1385461.933999977,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1405536.0019999626,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1425610.7109999903,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1445686.9880000341,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1465759.296999977,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1485832.4699999911,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1505910.1550000377,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1525985.2799999863,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1546058.836000043,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1566133.225000044,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1586207.8060000613,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1606282.354999962,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1626356.392000048,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1646430.5890000332,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1666503.5370000396,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1686577.8940000383,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1706651.9310000103,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1726726.3840000168,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1746803.6210000264,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1766878.6499999668,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1786954.446999971,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1807028.163000041,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1827114.0089999563,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1847189.6449999576,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1867264.6420000093,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1887339.1270000185,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1907412.8759999666,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1927486.689000034,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1947560.7580000088,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1967635.2100000258,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1987708.2550000295,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2007783.4119999807,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2027942.8909999523,"[3.1e-05, 1.9e-05, 0.500019, -1.9e-05, 0.0, 0.500025]"
CONTROL,2048016.4159999958,"[0.000125, 7.5e-05, 0.500075, -7.5e-05, 0.0, 0.5001]"
CONTROL,2068090.1010000524,"[0.00028, 0.000168, 0.500168, -0.000168, 0.0, 0.500224]"
CONTROL,2088164.3940000457,"[0.000498, 0.000299, 0.500299, -0.000299, 0.0, 0.500399]"
CONTROL,2108240.2230000524,"[0.000778, 0.000467, 0.500467, -0.000467, 0.0, 0.500623]"
CONTROL,2128314.132000014,"[0.001121, 0.000672, 0.500672, -0.000672, 0.0, 0.500897]"
CONTROL,2148389.543999997,"[0.001525, 0.000915, 0.500915, -0.000915, 0.0, 0.50122]"
CONTROL,2168464.125000014,"[0.001991, 0.001195, 0.501195, -0.001195, 0.0, 0.501593]"
CONTROL,2188537.809999957,"[0.002519, 0.001512, 0.501512, -0.001512, 0.0, 0.502015]"
CONTROL,2208611.9430000507,"[0.003109, 0.001865, 0.501865, -0.001865, 0.0, 0.502487]"
CONTROL,2228686.971999991,"[0.00376, 0.002256, 0.502256, -0.002256, 0.0, 0.503008]"
CONTROL,2248775.601000034,"[0.004473, 0.002684, 0.502684, -0.002684, 0.0, 0.503578]"
CONTROL,2268853.062000062,"[0.005246, 0.003148, 0.503148, -0.003148, 0.0, 0.504197]"
CONTROL,2288927.674999968,"[0.006081, 0.003649, 0.503649, -0.003649, 0.0, 0.504865]"
CONTROL,2309002.7040000223,"[0.006977, 0.004186, 0.504186, -0.004186, 0.0, 0.505581]"
