type,timestamp,positions
CONTROL,0.0,"[0.0, 0.0, 0.606066, 0.0, 0.077942, 0.5]"
CONTROL,0.004999999888241291,"[0.0, 0.0, 0.606066, 0.0, 0.077942, 0.5]"
CONTROL,0.009999999776482582,"[0.0, 0.0, 0.606066, 0.0, 0.077942, 0.5]"
CONTROL,0.014999999664723873,"[0.0, 0.0, 0.606066, 0.0, 0.077942, 0.5]"
CONTROL,0.019999999552965164,"[0.00377, 0.004523, 0.609345, 0.005276, 0.079845, 0.504709]"
CONTROL,0.024999999441206455,"[0.00377, 0.004523, 0.609345, 0.005276, 0.079845, 0.504709]"
CONTROL,0.029999999329447746,"[0.00377, 0.004523, 0.609345, 0.005276, 0.079845, 0.504709]"
CONTROL,0.03499999921768904,"[0.00377, 0.004523, 0.609345, 0.005276, 0.079845, 0.504709]"
CONTROL,0.03999999910593033,"[0.007537, 0.009039, 0.612517, 0.010538, 0.081594, 0.5094]"
CONTROL,0.04499999899417162,"[0.007537, 0.009039, 0.612517, 0.010538, 0.081594, 0.5094]"
CONTROL,0.04999999888241291,"[0.007537, 0.009039, 0.612517, 0.010538, 0.081594, 0.5094]"
CONTROL,0.0549999987706542,"[0.007537, 0.009039, 0.612517, 0.010538, 0.081594, 0.5094]"
CONTROL,0.05999999865889549,"[0.011299, 0.013543, 0.615577, 0.015774, 0.083185, 0.514054]"
CONTROL,0.06499999854713678,"[0.011299, 0.013543, 0.615577, 0.015774, 0.083185, 0.514054]"
CONTROL,0.06999999843537807,"[0.011299, 0.013543, 0.615577, 0.015774, 0.083185, 0.514054]"
CONTROL,0.07499999832361937,"[0.011299, 0.013543, 0.615577, 0.015774, 0.083185, 0.514054]"
CONTROL,0.07999999821186066,"[0.015054, 0.018027, 0.618523, 0.02097, 0.084615, 0.518652]"
CONTROL,0.08499999810010195,"[0.015054, 0.018027, 0.618523, 0.02097, 0.084615, 0.518652]"
CONTROL,0.08999999798834324,"[0.015054, 0.018027, 0.618523, 0.02097, 0.084615, 0.518652]"
CONTROL,0.09499999787658453,"[0.015054, 0.018027, 0.618523, 0.02097, 0.084615, 0.518652]"
CONTROL,0.09999999776482582,"[0.0188, 0.022486, 0.621353, 0.026112, 0.085882, 0.523176]"
CONTROL,0.10499999765306711,"[0.0188, 0.022486, 0.621353, 0.026112, 0.085882, 0.523176]"
